shrug ¯\_(ツ)_/¯
shrug2 ¯\(°_o)/¯
shruge 🤷‍♂️
check ✓
chbox ☑
nochbox ☐
thumb 👍
thumbdown 👎
poop 💩
snowman ☃
flip (╯°□°）╯︵ ┻━┻
heart ❤️
heartp ️💜
heartb 💔
hearteyes 😍
cathearteyes 😻
lod ಠ_ಠ
hmm 🤔
goat 🐐
lenny ( ͡° ͜ʖ ͡°)
yeah ᕕ( ᐛ )ᕗ
donger ヽ༼ຈل͜ຈ༽ﾉ
cat 🐱
tiger 🐯
eye 👁
eyes 👀
note ♫
kirby <(^.^<) (>^.^)>
party 🎉
beer 🍺
cheers 🍻
fuu 凸(`д´)凸
fire 🔥
fine 🔥☕️🐶💬🔥
# http://apple.stackexchange.com/questions/55727/where-can-i-find-the-unicode-symbols-for-mac-functional-keys-command-shift
keyboard ⌘⌃⌥⇧↵→←↑↓
cry 😭
summon ༼ つ ◕_◕ ༽つ
silly 😜
popcorn 🍿
rofl 🤣
laugh 😂
v ✌️
peace ☮️
facepalm 🤦‍♂️
pray 🙏
flex 💪
flex2 ᕙ(⇀‸↼‶)ᕗ
wave 👋
surrender 🏳️
finger ☝️
fu 🖕
metal 🤘
fist ✊
eyeroll 🙄
skull 💀
crossbones ☠️
stars ✨
cake 🍰
bcake 🎂
brofist 👊
ear 👂
fingerscrossed 🤞
clap 👏
deal (•_•) ( •_•)>⌐■-■ (⌐■_■)
hug 🤗
monkeys 🙈🙉🙊
bolt ⚡
tear 😢
nerd 🤓
cool 😎
ghost 👻
hands 🙌
devil 😈
gross 🤢
vomit 🤮
angry 😠
ib ‽
mindblown 🤯
scream 😱
pizza 🍕
drool 🤤
sleep 😴
sleepy 😪
el …
cent ¢
crab 🦀
baller 🏀
ok 👌
trophy 🏆
wine 🍷
flowers 💐
kiss 😘
yum 😋
ha ㅋ
thought 💭
smiley ツ
brain 🧠
degree °
tomato 🍅
virus 🦠
r ®
tm ™
cr ©
cl 🄯
mask 😷
robot 🤖
fistbump 🤜🤛
snake 🐍
